,ACCNUM,ACCLASS,INVOLVED,MOTIVE,X,Y,LATITUDE,LONGITUDE,DATE_TIME,ROAD_CLASS,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,DISTRICT,NEIGHBOURHOOD,HOOD_ID,LOCCOORD,PEOPLE_COUNT,FATAL_INJURY_COUNT,MAJOR_INJURY_COUNT,MINOR_INJURY_COUNT,NO_INJURY_COUNT,NULL_INJURY_COUNT,DRIVERS_COUNT,PEDESTRIAN_COUNT,PASSENGER_COUNT,CYCLIST_COUNT,PEOPLE_VEH_COUNT,AUTOMOBILE_VEH_COUNT,RECREATIONAL_VEH_COUNT,OTHER_VEH_COUNT,REDLIGHT_CAMERA,DATE,DATA_TYPE,CAMERA_ID,CAMERA_DATE_TIME,CAMERA_DATE
10,93249.0,Non-Fatal Injury,Automobile,Not Recorded,-8833174.54381,5411737.06588953,43.651946,-79.349757,2020-01-14 13:56:00,<Null>,Non Intersection,No Control,Clear,Daylight,Dry,Turning Movement,North York,Waterfront Communities-The Island (77),77,Mid-Block,3,0,1,0,2,0,2,0,1,0,0,3,0,0,False,2020-01,Accident,,,
11,95001.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8819470.33525691,5435331.87455452,43.80511,-79.22665,2020-01-14 18:12:00,Minor Arterial,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Scarborough,Malvern (132),132,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
12,105298.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8814816.95790277,5429115.67660733,43.764796,-79.184848,2020-01-16 05:40:00,Minor Arterial,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Scarborough,West Hill (136),136,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
13,117822.0,Non-Fatal Injury,Automobile,Aggressive and Distracted Driving Collision,-8837456.78198183,5429530.17523106,43.767485,-79.388225,2020-01-17 19:15:00,Major Arterial,At Intersection,Stop Sign,Clear,Daylight,Dry,Rear End,North York,Bayview Village (52),52,Intersection,5,0,1,1,3,0,4,0,1,0,0,5,0,0,False,2020-01,Accident,,,
14,118659.0,Non-Fatal Injury,Automobile,Alcohol  Related Collision,-8855439.1098856,5407262.42311372,43.622855,-79.549763,2020-01-17 21:40:00,<Null>,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Sideswipe,<Null>,Islington-City Centre West (14),14,Mid-Block,2,0,1,1,0,0,2,0,0,0,0,2,0,0,False,2020-01,Accident,,,
15,121282.0,Non-Fatal Injury,Automobile,Medical or Physical Disability Related Collision,-8862615.54349856,5426130.26461843,43.745425,-79.61423,2020-01-18 09:55:00,Major Arterial,At Intersection,Traffic Signal,Snow,Daylight,Wet,SMV Other,Etobicoke York,West Humber-Clairville (1),1,Intersection,1,0,1,0,0,0,1,0,0,0,0,1,0,0,False,2020-01,Accident,,,
16,128407.0,Non-Fatal Injury,Automobile,"Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8813129.57706132,5442898.46016608,43.854145,-79.16969,2009-09-01 21:40:00,Local,<Null>,No Control,Clear,Dark,Dry,SMV Other,Scarborough,Rouge (131),131,Mid-Block,5,0,5,0,0,0,1,0,4,0,0,5,0,0,False,2009-09,Accident,,,
17,133203.0,Non-Fatal Injury,Automobile,Medical or Physical Disability Related Collision,-8836004.50790494,5410592.01187614,43.644503,-79.375179,2020-01-20 09:40:00,Expressway,Non Intersection,No Control,Clear,Daylight,Dry,SMV Other,Toronto East York,Waterfront Communities-The Island (77),77,Mid-Block,2,0,1,0,1,0,2,0,0,0,0,2,0,0,False,2020-01,Accident,,,
18,136270.0,Non-Fatal Injury,"Pedestrian, City Vehicle",Not Recorded,-8853375.24652629,5413382.81995215,43.662642,-79.531223,2020-01-20 16:58:00,Major Arterial,At Intersection,No Control,Clear,Daylight,Loose Snow,Pedestrian Collisions,Etobicoke York,Edenbridge-Humber Valley (9),9,Intersection,2,0,1,0,1,0,1,1,0,0,0,0,0,2,False,2020-01,Accident,,,
19,139578.0,Fatal,"Pedestrian, Truck",Aggressive and Distracted Driving Collision,-8847050.51833738,5430956.322323999,43.776736,-79.474407,2020-01-21 07:01:00,Minor Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,North York,York University Heights (27),27,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,2,False,2020-01,Accident,,,
20,144397.0,Non-Fatal Injury,Automobile,Not Recorded,-8843312.74379501,5417990.82913959,43.69258,-79.44083,2020-01-21 19:00:00,Minor Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Turning Movement,North York,Oakwood Village (107),107,Intersection,2,0,1,0,1,0,2,0,0,0,0,2,0,0,False,2020-01,Accident,,,
21,169709.0,Non-Fatal Injury,Truck,Not Recorded,-8835107.60676762,5410877.839022401,43.646361,-79.367122,2020-01-25 05:05:00,Expressway,Non Intersection,No Control,Rain,"Dark, artificial",Wet,SMV Other,Scarborough,Waterfront Communities-The Island (77),77,Mid-Block,1,0,1,0,0,0,1,0,0,0,0,1,0,0,False,2020-01,Accident,,,
22,180484.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8814468.75053557,5430571.66791002,43.774241,-79.18172,2020-01-26 19:32:00,Major Arterial,Intersection Related,No Control,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Scarborough,West Hill (136),136,Intersection,3,0,1,0,2,0,1,1,1,0,0,1,0,2,False,2020-01,Accident,,,
23,187607.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8816124.8506001,5433826.24291166,43.795348,-79.196597,2020-01-27 18:17:00,Major Arterial,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Scarborough,Highland Creek (134),134,Mid-Block,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
24,188526.0,Fatal,"Pedestrian, Automobile",Not Recorded,-8849879.48055691,5413792.61152458,43.665305,-79.49982,2020-01-27 20:30:00,Major Arterial,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Etobicoke York,Lambton Baby Point (114),114,Mid-Block,2,1,0,0,1,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
25,202070.0,Fatal,"Pedestrian, Automobile",Not Recorded,-8832596.23905532,5424809.47691656,43.736853,-79.344562,2020-01-29 16:34:00,Major Arterial,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,North York,Banbury-Don Mills (42),42,Mid-Block,2,1,0,1,0,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
26,212688.0,Non-Fatal Injury,"Pedestrian, Truck",Not Recorded,-8845818.99081073,5426862.69609889,43.750178000000005,-79.46334399999999,2020-01-31 04:15:00,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,North York,Downsview-Roding-CFB (26),26,Intersection,2,0,1,0,1,0,1,1,0,0,0,0,0,2,True,2020-01,Accident,170.0,2021-06-29 04:00:00,2021-06
27,213617.0,Non-Fatal Injury,City Vehicle,Not Recorded,-8851843.04505501,5403442.59435879,43.59801,-79.517459,2020-01-31 08:45:00,Major Arterial,Non Intersection,No Control,Clear,Daylight,Dry,Other,Etobicoke York,New Toronto (18),18,Mid-Block,2,0,1,0,1,0,1,0,1,0,0,0,0,2,False,2020-01,Accident,,,
28,214205.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8832623.40101108,5415882.01559328,43.678881,-79.344806,2020-01-31 10:14:00,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Toronto East York,Blake-Jones (69),69,Intersection,5,0,1,0,4,0,1,1,3,0,0,1,0,4,False,2020-01,Accident,,,
29,220239.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8836305.07053008,5411295.67329921,43.649077,-79.37787900000001,2020-02-01 02:31:00,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Toronto East York,Church-Yonge Corridor (75),75,Intersection,2,0,1,1,0,0,1,1,0,0,0,1,0,1,False,2020-02,Accident,,,
30,220521.0,Non-Fatal Injury,Automobile,"Speeding  Related Collision, Alcohol  Related Collision, Aggressive and Distracted Driving Collision",-8842184.85471429,5416143.37826549,43.680579,-79.43069799999999,2020-02-01 04:06:00,Major Arterial,At Intersection,No Control,Clear,"Dark, artificial",Wet,Rear End,Toronto East York,Wychwood (94),94,Intersection,3,0,1,1,1,0,2,0,1,0,0,2,0,1,False,2020-02,Accident,,,
31,231164.0,Non-Fatal Injury,Automobile,Medical or Physical Disability Related Collision,-8847216.94097611,5419016.23844744,43.69924,-79.475902,2020-02-02 17:56:00,Major Arterial,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Wet,Approaching,Etobicoke York,Brookhaven-Amesbury (30),30,Intersection,2,0,1,1,0,0,2,0,0,0,0,2,0,0,False,2020-02,Accident,,,
32,245690.0,Non-Fatal Injury,Automobile,"Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8826216.29639898,5419334.66198903,43.701308,-79.28725,2020-02-04 15:41:00,Minor Arterial,At Intersection,No Control,Clear,Daylight,Dry,Approaching,Scarborough,Clairlea-Birchmount (120),120,Intersection,6,0,2,3,1,0,3,0,3,0,0,3,0,3,False,2020-02,Accident,,,
33,270261.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8850802.65309406,5422060.49666964,43.719008,-79.508113,2020-02-07 19:15:00,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,SMV Other,Etobicoke York,Downsview-Roding-CFB (26),26,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-02,Accident,,,
34,296685.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8842057.39389733,5421959.45701783,43.718352,-79.429553,2020-02-11 13:55:00,Major Arterial,At Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,North York,Bedford Park-Nortown (39),39,Intersection,3,0,1,0,2,0,1,2,0,0,0,1,0,2,False,2020-02,Accident,,,
35,316011.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8836294.04990049,5410350.34253742,43.642932,-79.37778,2020-02-13 23:45:00,Expressway,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Etobicoke York,Waterfront Communities-The Island (77),77,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-02,Accident,,,
36,332841.0,Non-Fatal Injury,Automobile,Aggressive and Distracted Driving Collision,-8838954.029133,5434855.26509403,43.80202,-79.401675,2020-02-16 11:30:00,Major Arterial,Non Intersection,No Control,Clear,Daylight,Dry,Rear End,North York,Newtonbrook East (50),50,Mid-Block,5,0,1,1,3,0,4,0,1,0,0,5,0,0,False,2020-02,Accident,,,
37,342262.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8853047.410625901,5403082.60170317,43.595668,-79.528278,2020-02-17 19:49:00,Major Arterial,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Etobicoke York,Long Branch (19),19,Mid-Block,5,0,1,1,3,0,2,1,2,0,0,2,0,3,False,2020-02,Accident,,,
38,348999.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8852203.16360773,5429927.11867545,43.77006,-79.52069399999999,2020-02-18 18:18:00,Major Arterial,Non Intersection,No Control,Clear,"Dark, artificial",Wet,SMV Other,Etobicoke York,Black Creek (24),24,Mid-Block,2,0,1,1,0,0,1,1,0,0,0,1,0,1,False,2020-02,Accident,,,
39,374527.0,Non-Fatal Injury,Automobile,"Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8850656.60192213,5426626.45632167,43.748645,-79.506801,2020-02-22 03:20:00,<Null>,Non Intersection,No Control,Clear,"Dark, artificial",Dry,SMV Other,<Null>,Glenfield-Jane Heights (25),25,Mid-Block,4,0,2,2,0,0,1,0,3,0,0,1,0,3,False,2020-02,Accident,,,
40,382209.0,Non-Fatal Injury,Automobile,"Red Light Related  Collision, Aggressive and Distracted Driving Collision",-8832467.99900193,5424847.68650371,43.737101,-79.34340999999999,2020-02-23 07:07:00,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Etobicoke York,Banbury-Don Mills (42),42,Intersection,2,0,1,1,0,0,2,0,0,0,0,2,0,0,True,2020-02,Accident,65.0,2009-09-10 04:00:00,2009-09
41,385373.0,Fatal,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8830458.57087362,5431502.72877033,43.78028,-79.32535899999999,2020-02-23 16:55:00,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,North York,L'Amoreaux (117),117,Intersection,3,1,0,0,2,0,1,1,1,0,0,1,0,2,False,2020-02,Accident,,,
42,401654.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8845781.58746182,5415048.25961105,43.673464,-79.463008,2020-02-25 21:05:00,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,SMV Other,Etobicoke York,Weston-Pellam Park (91),91,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-02,Accident,,,
43,418177.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8835230.72612444,5411620.29249778,43.651187,-79.368228,2020-02-28 06:50:00,Major Arterial,At Intersection,Traffic Signal,Clear,Dawn,Dry,SMV Other,Toronto East York,Moss Park (73),73,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-02,Accident,,,
44,418513.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8840199.13763752,5429794.85367985,43.769202,-79.41286,2020-02-28 08:10:00,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Wet,Pedestrian Collisions,North York,Willowdale East (51),51,Intersection,5,0,2,1,2,0,2,3,0,0,0,2,0,3,False,2020-02,Accident,,,
45,429600.0,Non-Fatal Injury,"Pedestrian, Automobile","Red Light Related  Collision, Aggressive and Distracted Driving Collision",-8860465.18489491,5424669.58187525,43.735945,-79.594913,2020-02-29 17:16:00,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Etobicoke York,West Humber-Clairville (1),1,Intersection,3,0,1,0,2,0,1,1,1,0,0,1,0,2,False,2020-02,Accident,,,
46,437574.0,Non-Fatal Injury,City Vehicle,Not Recorded,-8848901.98410825,5422913.67893553,43.724547,-79.491039,2020-03-01 21:00:00,Major Arterial,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Other,North York,Downsview-Roding-CFB (26),26,Intersection,2,0,1,0,1,0,1,0,1,0,0,0,0,2,False,2020-03,Accident,,,
47,442335.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8825846.82700904,5417190.28842184,43.68738,-79.28393100000001,2020-03-02 14:10:00,Minor Arterial,At Intersection,Pedestrian Crossover,Rain,Daylight,Wet,Pedestrian Collisions,Scarborough,Birchcliffe-Cliffside (122),122,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-03,Accident,,,
48,444225.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8848643.72288961,5427519.36042831,43.754439,-79.48871899999999,2020-03-02 18:15:00,Major Arterial,At Intersection,Traffic Signal,Clear,Dark,Wet,Pedestrian Collisions,North York,York University Heights (27),27,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-03,Accident,,,
49,450742.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8827947.98239776,5416562.06651259,43.683299,-79.302806,2020-03-03 15:20:00,Minor Arterial,At Intersection,Pedestrian Crossover,Rain,Daylight,Wet,Pedestrian Collisions,Toronto East York,East End-Danforth (62),62,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-03,Accident,,,
50,450834.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8851407.34056804,5410945.98964186,43.646804,-79.513545,2020-03-03 15:32:00,Major Arterial,At Intersection,Stop Sign,Rain,Daylight,Wet,Pedestrian Collisions,Etobicoke York,Stonegate-Queensway (16),16,Intersection,3,0,1,0,2,0,1,1,1,0,0,1,0,2,False,2020-03,Accident,,,
51,451712.0,Non-Fatal Injury,Automobile,Aggressive and Distracted Driving Collision,-8850879.90882067,5416161.54155292,43.680697,-79.50880699999999,2020-03-03 17:26:00,Minor Arterial,At Intersection,Traffic Signal,Clear,Dark,Wet,Turning Movement,Etobicoke York,Humber Heights-Westmount (8),8,Intersection,3,0,1,0,2,0,3,0,0,0,0,3,0,0,False,2020-03,Accident,,,
52,474338.0,Non-Fatal Injury,"Pedestrian, City Vehicle",Aggressive and Distracted Driving Collision,-8827649.08956498,5416651.348079599,43.683879,-79.30012099999999,2020-03-06 13:52:00,Minor Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Toronto East York,East End-Danforth (62),62,Intersection,2,0,1,0,1,0,1,1,0,0,0,0,0,2,False,2020-03,Accident,,,
53,484297.0,Non-Fatal Injury,City Vehicle,Not Recorded,-8847906.56522158,5416140.4536717,43.68056,-79.482097,2020-03-07 19:40:00,Collector,At Intersection,No Control,Clear,"Dark, artificial",Dry,Other,Etobicoke York,Rockcliffe-Smythe (111),111,Intersection,2,0,1,1,0,0,1,0,1,0,0,0,0,2,False,2020-03,Accident,,,
54,488737.0,Fatal,Motorcycle,Not Recorded,-8823669.19513014,5421027.04877883,43.712298,-79.26436899999999,2020-03-08 14:00:00,Local,Intersection Related,No Control,Clear,Daylight,Wet,Other,Scarborough,Clairlea-Birchmount (120),120,Intersection,1,1,0,0,0,0,1,0,0,0,0,0,1,0,False,2020-03,Accident,,,
55,500879.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8841626.03087051,5416306.54128094,43.681639,-79.425678,2020-03-10 06:32:00,Major Arterial,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,SMV Other,Toronto and East York,Wychwood (94),94,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-03,Accident,,,
56,500922.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8834615.01802086,5411667.83247521,43.651496,-79.362697,2020-03-10 06:44:00,Minor Arterial,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Toronto East York,Waterfront Communities-The Island (77),77,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-03,Accident,,,
57,522896.0,Non-Fatal Injury,"Pedestrian, Automobile","Alcohol  Related Collision, Aggressive and Distracted Driving Collision",-8833180.5550625,5412792.40119642,43.658805,-79.349811,2020-03-13 00:27:00,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Toronto East York,South Riverdale (70),70,Intersection,3,0,1,1,1,0,1,2,0,0,0,1,0,2,False,2020-03,Accident,,,
58,540779.0,Non-Fatal Injury,"Cyclist, Automobile",Not Recorded,-8820993.07457147,5421928.96051099,43.718154,-79.240329,2020-03-15 15:23:00,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Scarborough,Cliffcrest (123),123,Intersection,3,0,1,0,2,0,1,0,1,1,1,1,0,1,True,2020-03,Accident,152.0,2021-05-25 04:00:00,2021-05
59,562879.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8813557.48918393,5430917.62490136,43.776485,-79.173534,2020-03-18 21:05:00,Major Arterial,Intersection Related,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Scarborough,West Hill (136),136,Intersection,3,0,1,0,2,0,1,1,1,0,0,1,0,2,False,2020-03,Accident,,,
60,565895.0,Non-Fatal Injury,"Automobile, Truck",Not Recorded,-8822785.98629018,5432277.99078155,43.785308,-79.256435,2020-03-19 12:20:00,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Sideswipe,Scarborough,Agincourt South-Malvern West (128),128,Intersection,5,0,1,2,2,0,4,0,1,0,0,4,0,1,False,2020-03,Accident,,,
61,568837.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8840694.28673257,5432538.4305394,43.786997,-79.41730799999999,2020-03-19 21:10:00,Major Arterial,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Pedestrian Collisions,North York,Newtonbrook East (50),50,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-03,Accident,,,
62,568853.0,Non-Fatal Injury,Automobile,Not Recorded,-8833876.07924097,5415001.93349063,43.673163,-79.356059,2020-03-19 21:16:00,Minor Arterial,At Intersection,Stop Sign,Rain,"Dark, artificial",Wet,Turning Movement,Toronto East York,North Riverdale (68),68,Intersection,2,0,1,1,0,0,2,0,0,0,0,2,0,0,False,2020-03,Accident,,,
63,598639.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8828129.76712622,5422043.5539679,43.718898,-79.304439,2020-03-25 05:24:00,Major Arterial,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,North York,Victoria Village (43),43,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-03,Accident,,,
64,602902.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8828996.05540358,5437999.49175918,43.822402,-79.312221,2020-03-25 20:32:00,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,SMV Other,Scarborough,Steeles (116),116,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-03,Accident,,,
65,608251.0,Non-Fatal Injury,Automobile,Medical or Physical Disability Related Collision,-8838779.925449401,5418589.89452942,43.696471,-79.400111,2020-03-26 18:45:00,Local,At Intersection,Stop Sign,Clear,"Dark, artificial",Dry,SMV Other,Toronto East York,Yonge-Eglinton (100),100,Intersection,1,0,1,0,0,0,1,0,0,0,0,1,0,0,False,2020-03,Accident,,,
66,623949.0,Non-Fatal Injury,"Cyclist, Automobile",Not Recorded,-8847443.69877886,5407407.28325645,43.623797,-79.477939,2020-03-29 15:35:00,Collector,Non Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Etobicoke York,Mimico (17),17,Mid-Block,2,0,1,0,1,0,1,0,0,1,1,1,0,0,False,2020-03,Accident,,,
